Name,Cost,link
"Waveshare 2.13"" E-Paper E-Ink Display Module for Raspberry Pi Pico",14.4,https://thepihut.com/products/eink-display-phat-2-13-250x122?srsltid=AfmBOoo8EZ7v05ub93fQbQNXfN3rXO9S8VJj6TgGeC-nosgjdNJ2xMRw
"Raspberry Pi Pico 2W, with headers",5.7,https://thepihut.com/products/raspberry-pi-pico-2?variant=54063366701441
Shipping,6,
MicroUSB Battery Holder (3xAA),1.6,https://thepihut.com/products/microusb-battery-holder-3xaa?srsltid=AfmBOoqrjlgkR1Rx1rhkYUG7E1tL5j3UhUkexh0M7qkS4lOD7PMByUbi
"Premium Female/Male 'Extension' Jumper Wires - 20 x 6""",1.7,https://thepihut.com/products/premium-female-male-extension-jumper-wires-20-x-6
Half-Size Breadboard - White,3,https://thepihut.com/products/raspberry-pi-breadboard-half-size
"Premium Male/Male Jumper Wires - 20 x 3"" (75mm)",1.7,https://thepihut.com/products/premium-male-male-jumper-wires-20-x-3-75mm
Tactile Button switch (6mm) x 20 pack,2.2,https://thepihut.com/products/tactile-button-switch-6mm-x-20-pack
"Batteries @ Lidl, estimate",2,
,,
,,
,,
,,
,,
Total,38.3,
